host,port,userId,loginName,password,newPassword,emailPassword,newEmailPassword,packageName,version,languagePack,source,appType,regEmail,loginEmail,bindEmail,rebindEmail,regPhoneNo,loginPhoneNo,bindPhoneNo,rebindPhoneNo,regPassword,firstName,lastName,companyName,country,companyAddress,companyTel,companyEmail,companyWeb,companyProfile,pic,voice,inviteEmail,isEncrypt
60.191.214.150,8011,1000683,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000684,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000685,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000686,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000687,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000688,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000689,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000690,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000691,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
60.191.214.150,8011,1000692,13656819950,Aa123456,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,519849857@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,13656819950,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,TRUE
