host,port,path,userId,loginEmail,loginPhoneNo,loginName,password,newPassword,emailPassword,newEmailPassword,packageName,version,languagePack,source,appType,regEmail,bindEmail,rebindEmail,regPhoneNo,bindPhoneNo,rebindPhoneNo,regPassword,firstName,lastName,companyName,country,companyAddress,companyTel,companyEmail,companyWeb,companyProfile,pic,voice,inviteEmail,isEncrypt
192.168.1.30,8080,/offerplus/,1000671,tracy0953@sina.cn,13291829199,13291829199,853f8de7aa468edebd9318f17d4a0e0f,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000672,1563866885hhb@qq.com,18758869780,18758869780,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000673,33431388@qq.com,13735725151,13735725151,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000675,519513529@qq.com,18757803728,18757803728,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000684,695821874@qq.com,18268209636,18268209636,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000685,1067135661@ejet.com,18137815203,18137815203,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000687,eliaozi@163.com,18757803711,18757803711,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000689,hanzhixiaopr@163.com,18636363636,18636363636,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000692,3703@ejet.com,18757803708,18757803708,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000696,cs3@qq.com,18757803701,18757803701,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000697,cs4@qq.com,18757803704,18757803704,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000700,cs7@qq.com,18211111111,18211111111,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1000762,cs69@qq.com,18211111126,18211111126,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001174,cs481@qq.com,11385360825,11385360825,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001194,1067135661@qq.com,13855454545,13855454545,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001195,123@ejet.com,18568647289,18568647289,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001196,jason@ejet.com,13735751003,13735751003,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001200,812264061@qq.com,18868818784,18868818784,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001202,1875886971180@163.com,13500001111,13500001111,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001210,65464646546@qq.com,7897465431,7897465431,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001211,ddddd@qq.com,13245678996,13245678996,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001214,biazan@biazan.biazan,1.11222E+12,1.11222E+12,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001219,nm.business@yahoo.com,13777910034,13777910034,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001221,1816404597@qq.com,18868818785,18868818785,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001236,example2@ejet.com,15200000000,15200000000,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1001294,example60@ejet.com,1520000007,1520000007,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1010621,123@qq.com,1.52E+10,1.52E+10,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
192.168.1.30,8080,/offerplus/,1010622,q@123.com,15210370030,15210370030,f492a324fbf16d306ee09f5d0ac5e1eb,Aa1234567,Aa123456,Aa1234567,com.Ejetsolutions.offerplus,1.1.5,EN,0,I,1091584012@qq.com,592485273@qq.com,1006170558@qq.com,18211111116,18211111117,18211111118,Aa123456,firstName,lastName,O+,China_86,tianheng,0571-8888888,offerplus@offer.com,http://www.offerplus.com,maojia tec,big1.png,test.mp3,invite@offerplus.com,FALSE
